Term,AddDate,DropStatus,DropDate,Course,Section,Location,Subject,Division,StartTime,Days,SectionNumber,TERM_DATE,TERM_START_DATE,TERM_END_DATE,TERM_EARLY_REG,DaysBeforeStart,DropDateRecode,AddDateRecode,DateFilter,Info
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/7/2018,1/14/2019,5/15/2019,10/29/2018,-68,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/8/2018,1/14/2019,5/15/2019,10/29/2018,-67,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/9/2018,1/14/2019,5/15/2019,10/29/2018,-66,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/10/2018,1/14/2019,5/15/2019,10/29/2018,-65,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/11/2018,1/14/2019,5/15/2019,10/29/2018,-64,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/12/2018,1/14/2019,5/15/2019,10/29/2018,-63,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/13/2018,1/14/2019,5/15/2019,10/29/2018,-62,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/14/2018,1/14/2019,5/15/2019,10/29/2018,-61,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/15/2018,1/14/2019,5/15/2019,10/29/2018,-60,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/16/2018,1/14/2019,5/15/2019,10/29/2018,-59,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/17/2018,1/14/2019,5/15/2019,10/29/2018,-58,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/18/2018,1/14/2019,5/15/2019,10/29/2018,-57,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/19/2018,1/14/2019,5/15/2019,10/29/2018,-56,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/20/2018,1/14/2019,5/15/2019,10/29/2018,-55,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/21/2018,1/14/2019,5/15/2019,10/29/2018,-54,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/22/2018,1/14/2019,5/15/2019,10/29/2018,-53,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/23/2018,1/14/2019,5/15/2019,10/29/2018,-52,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/24/2018,1/14/2019,5/15/2019,10/29/2018,-51,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/25/2018,1/14/2019,5/15/2019,10/29/2018,-50,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/26/2018,1/14/2019,5/15/2019,10/29/2018,-49,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/27/2018,1/14/2019,5/15/2019,10/29/2018,-48,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/28/2018,1/14/2019,5/15/2019,10/29/2018,-47,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/29/2018,1/14/2019,5/15/2019,10/29/2018,-46,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/30/2018,1/14/2019,5/15/2019,10/29/2018,-45,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/1/2018,1/14/2019,5/15/2019,10/29/2018,-44,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/2/2018,1/14/2019,5/15/2019,10/29/2018,-43,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/3/2018,1/14/2019,5/15/2019,10/29/2018,-42,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/4/2018,1/14/2019,5/15/2019,10/29/2018,-41,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/5/2018,1/14/2019,5/15/2019,10/29/2018,-40,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/6/2018,1/14/2019,5/15/2019,10/29/2018,-39,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/7/2018,1/14/2019,5/15/2019,10/29/2018,-38,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/8/2018,1/14/2019,5/15/2019,10/29/2018,-37,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/9/2018,1/14/2019,5/15/2019,10/29/2018,-36,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/10/2018,1/14/2019,5/15/2019,10/29/2018,-35,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/11/2018,1/14/2019,5/15/2019,10/29/2018,-34,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/12/2018,1/14/2019,5/15/2019,10/29/2018,-33,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/13/2018,1/14/2019,5/15/2019,10/29/2018,-32,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/14/2018,1/14/2019,5/15/2019,10/29/2018,-31,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/15/2018,1/14/2019,5/15/2019,10/29/2018,-30,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/16/2018,1/14/2019,5/15/2019,10/29/2018,-29,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/17/2018,1/14/2019,5/15/2019,10/29/2018,-28,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/18/2018,1/14/2019,5/15/2019,10/29/2018,-27,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/19/2018,1/14/2019,5/15/2019,10/29/2018,-26,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/20/2018,1/14/2019,5/15/2019,10/29/2018,-25,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/21/2018,1/14/2019,5/15/2019,10/29/2018,-24,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/22/2018,1/14/2019,5/15/2019,10/29/2018,-23,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/23/2018,1/14/2019,5/15/2019,10/29/2018,-22,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/24/2018,1/14/2019,5/15/2019,10/29/2018,-21,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/25/2018,1/14/2019,5/15/2019,10/29/2018,-20,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/26/2018,1/14/2019,5/15/2019,10/29/2018,-19,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/27/2018,1/14/2019,5/15/2019,10/29/2018,-18,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/28/2018,1/14/2019,5/15/2019,10/29/2018,-17,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/29/2018,1/14/2019,5/15/2019,10/29/2018,-16,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/30/2018,1/14/2019,5/15/2019,10/29/2018,-15,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/31/2018,1/14/2019,5/15/2019,10/29/2018,-14,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/1/2019,1/14/2019,5/15/2019,10/29/2018,-13,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/2/2019,1/14/2019,5/15/2019,10/29/2018,-12,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/3/2019,1/14/2019,5/15/2019,10/29/2018,-11,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/4/2019,1/14/2019,5/15/2019,10/29/2018,-10,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/5/2019,1/14/2019,5/15/2019,10/29/2018,-9,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/6/2019,1/14/2019,5/15/2019,10/29/2018,-8,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/7/2019,1/14/2019,5/15/2019,10/29/2018,-7,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,X,1/9/2019,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,1/8/2019,1/14/2019,5/15/2019,10/29/2018,-6,1/9/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/7/2018,1/14/2019,5/15/2019,10/29/2018,-68,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/8/2018,1/14/2019,5/15/2019,10/29/2018,-67,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/9/2018,1/14/2019,5/15/2019,10/29/2018,-66,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/10/2018,1/14/2019,5/15/2019,10/29/2018,-65,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/11/2018,1/14/2019,5/15/2019,10/29/2018,-64,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/12/2018,1/14/2019,5/15/2019,10/29/2018,-63,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/13/2018,1/14/2019,5/15/2019,10/29/2018,-62,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/14/2018,1/14/2019,5/15/2019,10/29/2018,-61,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/15/2018,1/14/2019,5/15/2019,10/29/2018,-60,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/16/2018,1/14/2019,5/15/2019,10/29/2018,-59,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/17/2018,1/14/2019,5/15/2019,10/29/2018,-58,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/18/2018,1/14/2019,5/15/2019,10/29/2018,-57,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/19/2018,1/14/2019,5/15/2019,10/29/2018,-56,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/20/2018,1/14/2019,5/15/2019,10/29/2018,-55,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/21/2018,1/14/2019,5/15/2019,10/29/2018,-54,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/22/2018,1/14/2019,5/15/2019,10/29/2018,-53,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/23/2018,1/14/2019,5/15/2019,10/29/2018,-52,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/24/2018,1/14/2019,5/15/2019,10/29/2018,-51,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/25/2018,1/14/2019,5/15/2019,10/29/2018,-50,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/26/2018,1/14/2019,5/15/2019,10/29/2018,-49,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/27/2018,1/14/2019,5/15/2019,10/29/2018,-48,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/28/2018,1/14/2019,5/15/2019,10/29/2018,-47,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/29/2018,1/14/2019,5/15/2019,10/29/2018,-46,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,11/30/2018,1/14/2019,5/15/2019,10/29/2018,-45,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/1/2018,1/14/2019,5/15/2019,10/29/2018,-44,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/2/2018,1/14/2019,5/15/2019,10/29/2018,-43,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/3/2018,1/14/2019,5/15/2019,10/29/2018,-42,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/4/2018,1/14/2019,5/15/2019,10/29/2018,-41,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/5/2018,1/14/2019,5/15/2019,10/29/2018,-40,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/6/2018,1/14/2019,5/15/2019,10/29/2018,-39,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/7/2018,1/14/2019,5/15/2019,10/29/2018,-38,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/8/2018,1/14/2019,5/15/2019,10/29/2018,-37,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/9/2018,1/14/2019,5/15/2019,10/29/2018,-36,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/10/2018,1/14/2019,5/15/2019,10/29/2018,-35,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/11/2018,1/14/2019,5/15/2019,10/29/2018,-34,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/12/2018,1/14/2019,5/15/2019,10/29/2018,-33,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/13/2018,1/14/2019,5/15/2019,10/29/2018,-32,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/14/2018,1/14/2019,5/15/2019,10/29/2018,-31,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/15/2018,1/14/2019,5/15/2019,10/29/2018,-30,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/16/2018,1/14/2019,5/15/2019,10/29/2018,-29,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/17/2018,1/14/2019,5/15/2019,10/29/2018,-28,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/18/2018,1/14/2019,5/15/2019,10/29/2018,-27,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/19/2018,1/14/2019,5/15/2019,10/29/2018,-26,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/20/2018,1/14/2019,5/15/2019,10/29/2018,-25,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/21/2018,1/14/2019,5/15/2019,10/29/2018,-24,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/22/2018,1/14/2019,5/15/2019,10/29/2018,-23,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/23/2018,1/14/2019,5/15/2019,10/29/2018,-22,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/24/2018,1/14/2019,5/15/2019,10/29/2018,-21,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/25/2018,1/14/2019,5/15/2019,10/29/2018,-20,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
2019SP,11/7/2018,NA,NA,ABC-101,ABC-101-M03,MC,ABC,MSTH,3:00PM,M W ,M03,12/26/2018,1/14/2019,5/15/2019,10/29/2018,-19,5/15/2019,11/7/2018,TRUE,M03//3:00PM//M W 
